Main Target Definition,Target Processor Definition,Target Processor Description,Applicable OS,Target Path,Target File / Mask
!ALL.tkape,*.tkape,Execute ALL tkape files found in the Targets directory,,Various,
!BasicCollection.tkape,,Performs a basic collection of files,,Various,
,Amcache.tkape,Amcache,,C:\Windows\AppCompat\Programs\,Amcache.hve
,Amcache.tkape,Amcache transaction files,,C:\Windows\AppCompat\Programs\,Amcache.hve.LOG*
,ApacheAccessLog.tkape,Locates Apache access.log file,,C:\,access.log
,BCD.tkape,Boot Configuration Files,,C:\Boot\,BCD
,BCD.tkape,Boot Configuration Files,,C:\Boot\,BCD.LOG*
,Chrome.tkape,Chrome bookmarks XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\Bookmarks*,
,Chrome.tkape,Chrome Cookies XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\Cookies*,
,Chrome.tkape,Chrome Current Session XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\Current Session,
,Chrome.tkape,Chrome Current Tabs XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\Current Tabs,
,Chrome.tkape,Chrome Favicons XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\Favicons*,
,Chrome.tkape,Chrome History XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\History*,
,Chrome.tkape,Chrome Last Session XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\Last Session,
,Chrome.tkape,Chrome Last Tabs XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\Last Tabs,
,Chrome.tkape,Chrome Preferences XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\Preferences,
,Chrome.tkape,Chrome Shortcuts XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\Shortcuts*,
,Chrome.tkape,Chrome Top Sites XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\Top Sites*,
,Chrome.tkape,Chrome bookmarks XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\Bookmarks*,
,Chrome.tkape,Chrome Visited Links XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\Visited Links,
,Chrome.tkape,Chrome Web Data XP,Windows XP,C:\Documents and Settings\*\Local Settings\Application Data\Google\Chrome\User Data\*\Web Data*,
,Chrome.tkape,Chrome bookmarks,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\Bookmarks*,
,Chrome.tkape,Chrome Cookies,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\Cookies*,
,Chrome.tkape,Chrome Current Session,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\Current Session,
,Chrome.tkape,Chrome Current Tabs,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\Current Tabs,
,Chrome.tkape,Chrome Favicons,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\Favicons*,
,Chrome.tkape,Chrome History,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\History*,
,Chrome.tkape,Chrome Last Session,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\Last Session,
,Chrome.tkape,Chrome Last Tabs,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\Last Tabs,
,Chrome.tkape,Chrome Preferences,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\Preferences,
,Chrome.tkape,Chrome Shortcuts,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\Shortcuts*,
,Chrome.tkape,Chrome Top Sites,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\Top Sites*,
,Chrome.tkape,Chrome bookmarks,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\Bookmarks*,
,Chrome.tkape,Chrome Visited Links,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\Visited Links,
,Chrome.tkape,Chrome Web Data,,C:\Users\*\AppData\Local\Google\Chrome\User Data\*\Web Data*,
,CiscoJabber.tkape,Cisco Jabber Database,,C:\Users\*\AppData\Local\Cisco\Unified Communications\Jabber\CSF\History\,*.db
CombinedLogs.tkape,EventLogs.tkape,Windows Event Logs,,"C:\Windows\system32\config\
C:\Windows\system32\winevt\logs\","*.evt
*.evtx"
CombinedLogs.tkape,EventTraceLogs.tkape,Event Trace Logs,,"C:\Windows\System32\WDI\LogFiles\
C:\Windows\System32\WDI\
C:\Windows\System32\LogFiles\WMI\
C:\Windows\System32\
C:\ProgramData\Microsoft\Windows\PowerEfficiency Diagnostics\"," *.etl*
 {*
 *
 SleepStudy*
 energy-ntkl.etl"
CombinedLogs.tkape,PowerShellConsole.tkape,PowerShell Console Log,,C:\users\*\Appdata\Roaming\Microsoft\Windows\PowerShell\PSReadline\,ConsoleHost_history.txt
CombinedLogs.tkape,WindowsFirewall.tkape,Windows Firewall Log,,C:\Windows\System32\LogFiles\Firewall\,pfirewall.*
,ConfluenceLogs.tkape,Confluence Wiki Log Files,,C:\Atlassian\Application Data\Confluence\logs\,*.log*
,ConfluenceLogs.tkape,Confluence Wiki Log Files,,C:\Program Files\Atlassian\Confluence\logs\,*.log
,Edge.tkape,Edge folder,,C:\Users\*\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe,
,Edge.tkape,WebcacheV01.dat,,C:\Users\*\AppData\Local\Microsoft\Windows\WebCache,
,EncapsulationLogging.tkape,EncapsulationLogging,,C:\windows\Appcompat\Programs\,EncapsulationLogging.hve
,EncapsulationLogging.tkape,EncapsulationLogging Logs,,C:\windows\Appcompat\Programs\,EncapsulationLogging.log*
,EventLogs.tkape,Event logs XP,Windows XP,C:\Windows\system32\config\,*.evt
